date,ivol
2007-01-02,14.176
2007-01-03,15.9129
2007-01-04,16.1744
2007-01-05,15.3456
2007-01-08,15.7875
2007-01-09,16.6045
2007-01-10,16.9467
2007-01-11,16.0762
2007-01-15,15.8517
2007-01-16,16.2142
2007-01-17,16.4076
2007-01-19,16.0052
2007-01-22,16.186
2007-01-23,16.2929
2007-01-24,15.7378
2007-01-25,15.9232
2007-01-26,16.0538
2007-01-29,15.9529
2007-01-30,15.6302
2007-01-31,15.8878
2007-02-01,15.5118
2007-02-02,15.2463
2007-02-05,15.2865
2007-02-06,15.3513
2007-02-07,15.3036
2007-02-08,15.5887
2007-02-09,15.4338
2007-02-12,15.8684
2007-02-13,15.6412
2007-02-14,15.2779
2007-02-15,15.2977
2007-02-16,15.2038
2007-02-19,15.0214
2007-02-20,15.2776
2007-02-21,15.4093
2007-02-22,15.3827
2007-02-23,13.6743
2007-02-26,13.4635
2007-02-27,15.7526
2007-02-28,16.825
2007-03-01,17.9995
2007-03-02,17.8137
2007-03-05,18.1935
2007-03-06,17.7714
2007-03-07,17.2919
2007-03-08,16.5604
2007-03-09,16.5225
2007-03-12,17.2071
2007-03-13,18.1112
2007-03-14,19.9668
2007-03-15,18.8235
2007-03-16,18.0617
2007-03-19,17.5853
2007-03-20,16.9923
2007-03-21,16.9514
2007-03-22,16.1939
2007-03-23,16.0563
2007-03-26,16.7845
2007-03-27,16.8107
2007-03-28,17.3346
2007-03-29,16.679
2007-03-30,16.5663
2007-04-02,16.5615
2007-04-03,15.9219
2007-04-04,15.6462
2007-04-05,15.6021
2007-04-10,15.4974
2007-04-11,15.9244
2007-04-12,16.0328
2007-04-13,15.0394
2007-04-16,15.711
2007-04-17,15.8522
2007-04-18,15.8239
2007-04-19,16.2501
2007-04-20,15.6527
2007-04-23,15.9085
2007-04-24,16.3007
2007-04-25,15.86
2007-04-26,15.8565
2007-04-27,16.0535
2007-04-30,15.9331
2007-05-02,15.8314
2007-05-03,15.7666
2007-05-04,15.401
2007-05-07,15.2499
2007-05-08,15.6492
2007-05-09,15.508
2007-05-10,15.6571
2007-05-11,15.6387
2007-05-14,16.0645
2007-05-15,15.869
2007-05-16,16.0415
2007-05-17,15.9114
2007-05-18,14.8494
2007-05-21,14.9175
2007-05-22,14.7014
2007-05-23,14.3479
2007-05-24,14.9559
2007-05-25,14.7986
2007-05-28,14.7662
2007-05-29,14.886
2007-05-30,15.1204
2007-05-31,14.6061
2007-06-01,14.2599
2007-06-04,15.052
2007-06-05,15.3136
2007-06-06,16.4783
2007-06-07,17.19
2007-06-08,16.9863
2007-06-11,16.5124
2007-06-12,16.8974
2007-06-13,16.5388
2007-06-14,15.4577
2007-06-15,15.0354
2007-06-18,15.5883
2007-06-19,15.5268
2007-06-20,15.3421
2007-06-21,15.9599
2007-06-22,16.1407
2007-06-25,16.5285
2007-06-26,17.0261
2007-06-27,17.0268
2007-06-28,16.383
2007-06-29,15.8983
2007-07-02,16.3893
2007-07-03,15.8849
2007-07-04,15.8041
2007-07-05,16.3184
2007-07-06,15.8629
2007-07-09,15.7846
2007-07-10,16.7528
2007-07-11,16.8794
2007-07-12,16.0337
2007-07-13,15.9592
2007-07-16,16.1585
2007-07-17,16.5647
2007-07-18,17.4113
2007-07-19,16.7081
2007-07-20,17.752
2007-07-23,17.63
2007-07-24,18.5698
2007-07-25,19.3628
2007-07-26,20.89
2007-07-27,20.6226
2007-07-30,20.8617
2007-07-31,19.8238
2007-08-01,22.0304
2007-08-02,20.8883
2007-08-03,21.6578
2007-08-06,22.0779
2007-08-07,20.8113
2007-08-08,19.1414
2007-08-09,21.3515
2007-08-10,23.4158
2007-08-13,21.7077
2007-08-14,22.5439
2007-08-15,22.8098
2007-08-16,25.2955
2007-08-17,23.7609
2007-08-20,23.4458
2007-08-21,22.7409
2007-08-22,20.6806
2007-08-23,20.7309
2007-08-24,20.3505
2007-08-27,20.2825
2007-08-28,22.7344
2007-08-29,22.2213
2007-08-30,21.0463
2007-08-31,20.5229
2007-09-03,20.4645
2007-09-04,19.876
2007-09-05,21.3283
2007-09-06,21.4667
2007-09-07,23.4581
2007-09-10,24.2537
2007-09-11,22.9767
2007-09-12,22.7762
2007-09-13,21.8109
2007-09-14,22.2933
2007-09-17,23.9687
2007-09-18,22.6639
2007-09-19,19.3018
2007-09-20,19.4509
2007-09-21,18.4579
2007-09-24,18.0537
2007-09-25,18.5857
2007-09-26,17.8642
2007-09-27,17.6088
2007-09-28,18.0489
2007-10-01,18.0901
2007-10-02,17.9021
2007-10-03,18.3399
2007-10-04,18.2933
2007-10-05,17.494
2007-10-08,17.2239
2007-10-09,16.704
2007-10-10,16.9696
2007-10-11,16.9338
2007-10-12,17.4347
2007-10-15,18.2488
2007-10-16,18.7825
2007-10-17,18.3203
2007-10-18,19.0964
2007-10-19,19.1916
2007-10-22,20.7368
2007-10-23,19.8809
2007-10-24,20.281
2007-10-25,19.0105
2007-10-26,18.465
2007-10-29,18.1103
2007-10-30,18.6327
2007-10-31,17.8771
2007-11-01,18.6462
2007-11-02,19.5757
2007-11-05,20.3063
2007-11-06,19.2877
2007-11-07,19.9292
2007-11-08,21.0715
2007-11-09,22.6781
2007-11-12,22.3357
2007-11-13,21.7625
2007-11-14,20.8036
2007-11-15,21.5687
2007-11-16,21.7779
2007-11-19,23.4163
2007-11-20,22.2056
2007-11-21,23.982
2007-11-22,23.2145
2007-11-23,22.0061
2007-11-26,23.3671
2007-11-27,23.6222
2007-11-28,21.7307
2007-11-29,21.5297
2007-11-30,19.9483
2007-12-03,20.3006
2007-12-04,20.968
2007-12-05,19.4508
2007-12-06,19.3599
2007-12-07,18.6072
2007-12-10,18.454
2007-12-11,18.6871
2007-12-12,18.2944
2007-12-13,20.4209
2007-12-14,20.5059
2007-12-17,21.698
2007-12-18,21.4965
2007-12-19,21.2912
2007-12-20,20.5523
2007-12-21,18.7269
2007-12-24,18.7154
2007-12-27,18.5684
2007-12-28,18.4742
2007-12-31,19.1942
2008-01-02,20.2637
2008-01-03,20.0893
2008-01-04,21.5338
2008-01-07,21.8119
2008-01-08,21.1667
2008-01-09,22.1365
2008-01-10,22.1709
2008-01-11,22.188
2008-01-14,21.7279
2008-01-15,23.2169
2008-01-16,23.4274
2008-01-17,24.1346
2008-01-18,24.6881
2008-01-21,28.936
2008-01-22,27.2387
2008-01-23,30.6718
2008-01-24,26.9252
2008-01-25,27.0226
2008-01-28,26.7255
2008-01-29,25.2925
2008-01-30,25.9559
2008-01-31,25.3705
2008-02-01,23.5481
2008-02-04,23.6757
2008-02-05,26.9901
2008-02-06,26.1613
2008-02-07,27.625
2008-02-08,27.727
2008-02-11,28.0074
2008-02-12,25.8469
2008-02-13,25.1723
2008-02-14,25.0778
2008-02-15,26.1908
2008-02-18,25.0576
2008-02-19,25.0425
2008-02-20,26.1311
2008-02-21,25.2429
2008-02-22,26.0131
2008-02-25,25.0122
2008-02-26,24.0301
2008-02-27,24.0998
2008-02-28,25.1147
2008-02-29,26.6418
2008-03-03,27.4663
2008-03-04,28.551
2008-03-05,26.8039
2008-03-06,28.0354
2008-03-07,28.6548
2008-03-10,29.1426
2008-03-11,27.6449
2008-03-12,26.5612
2008-03-13,27.8044
2008-03-14,27.9129
2008-03-17,31.5176
2008-03-18,28.6416
2008-03-19,28.5332
2008-03-20,28.0973
2008-03-25,26.5603
2008-03-26,26.4621
2008-03-27,25.0637
2008-03-28,24.8055
2008-03-31,25.1541
2008-04-01,22.8775
2008-04-02,22.2029
2008-04-03,22.8545
2008-04-04,22.2147
2008-04-07,21.7959
2008-04-08,22.1245
2008-04-09,22.4519
2008-04-10,22.3439
2008-04-11,22.9416
2008-04-14,23.4907
2008-04-15,22.9297
2008-04-16,21.6046
2008-04-17,21.5511
2008-04-18,19.9577
2008-04-21,20.9765
2008-04-22,21.3416
2008-04-23,19.9919
2008-04-24,20.2925
2008-04-25,19.6075
2008-04-28,19.2999
2008-04-29,19.7332
2008-04-30,19.279
2008-05-02,18.1548
2008-05-05,18.2705
2008-05-06,18.4044
2008-05-07,18.0204
2008-05-08,18.5177
2008-05-09,19.305
2008-05-12,19.3669
2008-05-13,19.3789
2008-05-14,18.7498
2008-05-15,18.8018
2008-05-16,18.116
2008-05-19,17.4921
2008-05-20,18.5992
2008-05-21,19.0456
2008-05-22,19.114
2008-05-23,20.1881
2008-05-26,20.3481
2008-05-27,20.408
2008-05-28,19.8677
2008-05-29,19.75
2008-05-30,19.2413
2008-06-02,20.5189
2008-06-03,20.0556
2008-06-04,20.8663
2008-06-05,20.7291
2008-06-06,21.892
2008-06-09,22.5355
2008-06-10,22.9265
2008-06-11,23.5268
2008-06-12,22.5938
2008-06-13,21.4871
2008-06-16,21.6814
2008-06-17,20.9841
2008-06-18,21.7721
2008-06-19,21.6877
2008-06-20,22.4151
2008-06-23,22.0286
2008-06-24,22.1154
2008-06-25,20.9818
2008-06-26,22.1817
2008-06-27,22.5749
2008-06-30,21.8995
2008-07-01,22.9216
2008-07-02,23.2129
2008-07-03,22.5912
2008-07-04,23.5502
2008-07-07,22.6471
2008-07-08,23.5137
2008-07-09,22.387
2008-07-10,24.0736
2008-07-11,25.542
2008-07-14,24.8716
2008-07-15,25.8926
2008-07-16,25.0699
2008-07-17,23.4568
2008-07-18,22.4641
2008-07-21,22.4158
2008-07-22,22.1534
2008-07-23,21.1369
2008-07-24,21.8301
2008-07-25,21.5686
2008-07-28,22.2771
2008-07-29,22.1634
2008-07-30,21.1975
2008-07-31,21.3653
2008-08-01,22.3991
2008-08-04,22.645
2008-08-05,21.0622
2008-08-06,20.4452
2008-08-07,20.8611
2008-08-08,20.9073
2008-08-11,20.605
2008-08-12,21.0426
2008-08-13,22.4859
2008-08-14,22.2088
2008-08-15,21.7132
2008-08-18,21.4609
2008-08-19,22.6552
2008-08-20,22.0545
2008-08-21,22.3895
2008-08-22,21.3216
2008-08-25,22.0128
2008-08-26,21.6954
2008-08-27,21.6845
2008-08-28,20.7692
2008-08-29,20.5593
2008-09-01,20.9959
2008-09-02,20.5934
2008-09-03,21.6299
2008-09-04,23.884
2008-09-05,25.2939
2008-09-08,23.821
2008-09-09,24.2307
2008-09-10,24.6598
2008-09-11,24.9743
2008-09-12,24.0273
2008-09-15,26.6452
2008-09-16,28.5024
2008-09-17,29.9907
2008-09-18,29.9644
2008-09-19,26.1942
2008-09-22,26.7042
2008-09-23,27.6879
2008-09-24,28.0851
2008-09-25,27.472
2008-09-26,29.68
2008-09-29,32.5573
2008-09-30,32.701
2008-10-01,33.4881
