date,rate_pct,source
2000-01-03,3.06,EONIA
2000-01-04,3.01,EONIA
2000-01-05,2.99,EONIA
2000-01-06,2.92,EONIA
2000-01-07,2.89,EONIA
2000-01-10,2.98,EONIA
2000-01-11,3.01,EONIA
2000-01-12,3.07,EONIA
2000-01-13,3.04,EONIA
2000-01-14,3.03,EONIA
2000-01-17,3.02,EONIA
2000-01-18,2.98,EONIA
2000-01-19,2.85,EONIA
2000-01-20,2.95,EONIA
2000-01-21,3.15,EONIA
2000-01-24,3.11,EONIA
2000-01-25,3.09,EONIA
2000-01-26,3.06,EONIA
2000-01-27,3.1,EONIA
2000-01-28,3.3,EONIA
2000-01-31,3.29,EONIA
2000-02-01,3.26,EONIA
2000-02-02,3.18,EONIA
2000-02-03,3.19,EONIA
2000-02-04,3.26,EONIA
2000-02-07,3.25,EONIA
2000-02-08,3.25,EONIA
2000-02-09,3.24,EONIA
2000-02-10,3.24,EONIA
2000-02-11,3.25,EONIA
2000-02-14,3.25,EONIA
2000-02-15,3.25,EONIA
2000-02-16,3.25,EONIA
2000-02-17,3.23,EONIA
2000-02-18,3.2,EONIA
2000-02-21,3.2,EONIA
2000-02-22,3.22,EONIA
2000-02-23,3.48,EONIA
2000-02-24,3.41,EONIA
2000-02-25,3.34,EONIA
2000-02-28,3.37,EONIA
2000-02-29,3.47,EONIA
2000-03-01,3.37,EONIA
2000-03-02,3.33,EONIA
2000-03-03,3.28,EONIA
2000-03-06,3.29,EONIA
2000-03-07,3.31,EONIA
2000-03-08,3.35,EONIA
2000-03-09,3.47,EONIA
2000-03-10,3.52,EONIA
2000-03-13,3.54,EONIA
2000-03-14,3.53,EONIA
2000-03-15,3.5,EONIA
2000-03-16,3.49,EONIA
2000-03-17,3.49,EONIA
2000-03-20,3.48,EONIA
2000-03-21,3.49,EONIA
2000-03-22,3.58,EONIA
2000-03-23,3.86,EONIA
2000-03-24,3.59,EONIA
2000-03-27,3.6,EONIA
2000-03-28,3.6,EONIA
2000-03-29,3.62,EONIA
2000-03-30,3.7,EONIA
2000-03-31,3.75,EONIA
2000-04-03,3.6,EONIA
2000-04-04,3.6,EONIA
2000-04-05,3.58,EONIA
2000-04-06,3.58,EONIA
2000-04-07,3.58,EONIA
2000-04-10,3.59,EONIA
2000-04-11,3.64,EONIA
2000-04-12,3.72,EONIA
2000-04-13,3.68,EONIA
2000-04-14,3.61,EONIA
2000-04-17,3.66,EONIA
2000-04-18,3.83,EONIA
2000-04-19,3.83,EONIA
2000-04-20,3.35,EONIA
2000-04-25,3.81,EONIA
2000-04-26,3.91,EONIA
2000-04-27,3.83,EONIA
2000-04-28,3.93,EONIA
2000-05-02,3.9,EONIA
2000-05-03,3.91,EONIA
2000-05-04,3.96,EONIA
2000-05-05,4.03,EONIA
2000-05-08,4.01,EONIA
2000-05-09,3.99,EONIA
2000-05-10,3.98,EONIA
2000-05-11,3.93,EONIA
2000-05-12,3.9,EONIA
2000-05-15,3.94,EONIA
2000-05-16,3.98,EONIA
2000-05-17,4.08,EONIA
2000-05-18,4.02,EONIA
2000-05-19,3.79,EONIA
2000-05-22,3.49,EONIA
2000-05-23,2.9,EONIA
2000-05-24,4.06,EONIA
2000-05-25,4.03,EONIA
2000-05-26,4.02,EONIA
2000-05-29,4.04,EONIA
2000-05-30,4.08,EONIA
2000-05-31,4.2,EONIA
2000-06-01,4.16,EONIA
2000-06-02,4.16,EONIA
2000-06-05,4.16,EONIA
2000-06-06,4.13,EONIA
2000-06-07,4.06,EONIA
2000-06-08,4.15,EONIA
2000-06-09,4.33,EONIA
2000-06-12,4.36,EONIA
2000-06-13,4.35,EONIA
2000-06-14,4.31,EONIA
2000-06-15,4.26,EONIA
2000-06-16,4.24,EONIA
