date,open,high,low,close,volume
2008-06-13,16.8,16.8,16.8,16.8,59
2008-06-16,16.75,16.75,16.4,16.58,2572
2008-06-17,16.85,17.04,16.85,16.91,68866
2008-06-18,16.7,16.7,16.28,16.28,1896
2008-06-19,16.3,16.39,16.01,16.31,100656
2008-06-20,16.3,16.3,15.2,15.6,7256
2008-06-23,15.66,15.78,15.5,15.65,3189
2008-06-24,15.68,15.68,15.04,15.13,17638
2008-06-25,15.53,15.76,15.46,15.71,127501
2008-06-26,15.46,15.52,15.0,15.0,24019
2008-06-27,14.97,15.01,14.46,14.76,91954
2008-06-30,14.89,15.05,14.51,15.0,32938
2008-07-01,14.9,14.9,14.05,14.39,123050
2008-07-02,14.5,14.6,14.1,14.1,54597
2008-07-03,13.81,14.5,13.5,14.35,123993
2008-07-04,14.39,14.39,13.9,13.98,97724
2008-07-07,14.2,14.42,13.97,14.32,33437
2008-07-08,13.8,14.02,13.65,13.74,67506
2008-07-09,14.18,14.36,14.15,14.27,27170
2008-07-10,13.92,14.08,13.5,13.67,80543
2008-07-11,13.83,13.83,12.86,12.86,44944
2008-07-14,13.15,13.3,13.0,13.0,27050
2008-07-15,12.7,12.83,12.32,12.71,164401
2008-07-16,12.74,12.89,12.2,12.89,49492
2008-07-17,13.15,13.8,13.15,13.5,1440130
2008-07-18,13.23,13.99,13.23,13.98,36857
2008-07-21,13.89,14.45,13.78,14.16,80312
2008-07-22,13.92,14.25,13.77,14.22,250592
2008-07-23,14.58,14.8,14.48,14.7,33538
2008-07-24,14.93,14.93,14.2,14.28,110501
2008-07-25,14.07,14.65,14.02,14.51,13117
2008-07-28,14.34,14.39,14.14,14.14,51091
2008-07-29,13.93,14.3,13.77,14.2,731763
2008-07-30,14.47,14.75,14.4,14.65,44954
2008-07-31,14.73,14.9,14.42,14.65,10578
2008-08-01,14.32,14.49,14.0,14.03,120608
2008-08-04,14.02,14.18,13.78,13.91,12049
2008-08-05,13.96,14.59,13.9,14.59,25411
2008-08-06,14.8,14.97,14.65,14.97,68604
2008-08-07,14.9,15.35,14.89,15.06,36183
2008-08-08,14.87,15.23,14.77,15.2,21022
2008-08-11,15.19,15.52,15.19,15.52,85835
2008-08-12,15.37,15.6,15.28,15.31,74199
2008-08-13,15.24,15.26,14.6,14.63,170783
2008-08-14,14.8,15.02,14.5,14.78,73513
2008-08-15,14.98,15.25,14.76,14.81,48945
2008-08-18,14.8,15.26,14.7,14.89,39457
2008-08-19,14.45,14.49,14.09,14.09,63168
2008-08-20,14.31,14.41,14.08,14.34,115019
2008-08-21,14.15,14.15,13.9,14.06,24695
2008-08-22,14.0,14.55,14.0,14.51,52228
2008-08-25,14.32,14.49,14.25,14.25,15340
2008-08-26,14.15,14.46,13.91,14.34,17898
2008-08-27,14.02,14.49,13.96,14.35,17284
2008-08-28,14.25,15.07,14.14,14.92,47833
2008-08-29,14.94,15.25,14.92,15.1,38617
2008-09-01,14.93,15.15,14.89,15.03,199183
2008-09-02,14.89,15.55,14.89,15.38,81504
2008-09-03,15.14,15.26,14.84,14.84,113865
2008-09-04,14.84,14.84,13.87,13.87,126904
2008-09-05,13.76,13.82,13.09,13.2,379174
2008-09-08,14.35,14.57,14.0,14.17,378413
2008-09-09,14.08,14.39,13.71,13.86,122822
2008-09-10,13.8,14.02,13.48,13.75,140023
2008-09-11,13.54,13.68,13.2,13.55,25040
2008-09-12,13.83,14.07,13.6,14.07,24948
2008-09-15,13.13,13.17,12.44,12.98,315413
2008-09-16,12.65,12.91,12.2,12.44,351688
2008-09-17,12.83,12.87,11.93,11.93,220803
2008-09-18,11.92,12.35,11.55,11.71,500220
2008-09-19,13.04,13.91,12.8,13.91,630152
2008-09-22,13.9,14.05,13.24,13.24,174120
2008-09-23,13.0,13.1,12.55,12.69,274684
2008-09-24,12.86,12.86,12.44,12.54,96516
2008-09-25,12.52,13.28,12.52,13.25,228444
2008-09-26,12.77,13.06,12.5,12.8,208091
2008-09-29,12.0,12.18,11.58,11.66,224743
2008-09-30,11.03,11.98,10.9,11.96,732986
2008-10-01,12.09,12.21,11.76,12.03,143659
2008-10-02,12.16,12.49,11.56,11.69,165415
2008-10-03,11.69,12.39,11.4,12.24,68623
2008-10-06,11.14,11.25,10.23,10.57,441777
2008-10-07,10.75,10.76,9.95,10.2,248062
2008-10-08,9.55,9.86,8.59,8.97,584875
2008-10-09,9.26,9.53,8.42,8.42,392633
2008-10-10,7.4,7.58,6.95,7.32,648083
2008-10-13,8.6,8.9,7.9,8.9,683477
2008-10-14,9.9,10.17,9.0,9.35,855584
2008-10-15,9.11,9.35,8.06,8.22,570007
2008-10-16,7.23,8.05,7.0,7.21,654448
2008-10-17,7.79,7.98,7.19,7.83,535764
2008-10-20,8.12,8.38,7.95,8.38,550428
2008-10-21,8.8,8.89,8.25,8.5,511720
2008-10-22,8.04,8.25,7.58,7.72,961637
2008-10-23,7.58,7.88,7.14,7.8,633531
2008-10-24,7.01,7.32,6.1,7.32,1372102
2008-10-27,6.45,6.95,6.2,6.64,902029
2008-10-28,7.06,7.09,6.34,6.73,1140109
2008-10-29,7.61,8.05,7.35,8.05,1333462
2008-10-30,8.23,8.45,7.7,8.0,1500584
2008-10-31,7.95,8.42,7.7,8.3,565927
2008-11-03,8.57,8.63,8.23,8.61,1246342
2008-11-04,8.61,9.37,8.56,9.29,1959643
2008-11-05,9.11,9.25,8.77,9.02,628621
2008-11-06,8.45,8.84,7.84,7.89,921139
2008-11-07,8.14,8.49,7.75,8.27,600472
2008-11-10,8.77,8.96,8.38,8.46,578752
2008-11-11,8.1,8.2,7.6,7.72,719455
2008-11-12,7.97,7.99,7.07,7.25,801145
2008-11-13,7.13,7.46,6.96,7.27,644484
2008-11-14,7.81,7.88,7.41,7.45,838328
2008-11-17,7.43,7.58,6.94,7.09,883580
2008-11-18,7.09,7.23,6.66,7.21,1186897
2008-11-19,7.12,7.12,6.6,6.65,961837
2008-11-20,6.3,6.4,5.85,6.17,2199435
2008-11-21,6.24,6.39,5.59,5.8,2603957
2008-11-24,6.0,6.84,5.96,6.79,1847273
2008-11-25,6.7,7.31,6.63,6.98,4560627
2008-11-26,6.9,7.08,6.57,6.92,1615780
