ticker,name,sector,gics_code
3IN.L,3i Infrastructure,,
FOUR.L,4imprint,,
AAS.L,Aberdeen Asia Focus,,
ABDN.L,Aberdeen Group,,
ASL.L,Aberforth Smaller Companies Trust,,
AEP.L,AEP Plantations,,
ALFA.L,Alfa Financial Software,,
ATT.L,Allianz Technology Trust,,
AO.L,AO World,,
APN.L,Applied Nutrition,,
ASHM.L,Ashmore Group,,
AIE.L,Ashoka India Equity Investment Trust,,
AML.L,Aston Martin Lagonda,,
ATYM.L,Atalaya Mining,,
AGT.L,AVI Global Trust,,
AVON.L,Avon Technologies,,
BME.L,B&M,,
BGFD.L,Baillie Gifford Japan Trust,,
USA.L,Baillie Gifford US Growth Trust,,
BBY.L,Balfour Beatty,,
BCG.L,Baltic Classifieds,,
BNKR.L,Bankers Investment Trust,,
BAG.L,A.G. Barr,,
AJB.L,AJ Bell,,
BWY.L,Bellway,,
BHMG.L,BH Macro,,
BYG.L,Big Yellow Group,,
BPCR.L,Biopharma Credit,,
BRGE.L,BlackRock Greater Europe Investment Trust,,
BRSC.L,BlackRock Smaller Companies Trust,,
THRG.L,BlackRock Throgmorton Trust,,
BRWM.L,BlackRock World Mining Trust,,
BSIF.L,Bluefield Solar Income Fund,,
BOY.L,Bodycote,,
BREE.L,Breedon Group,,
BPT.L,Bridgepoint Group,,
BUT.L,Brunner Investment Trust,,
BYIT.L,Bytes Technology Group,,
CCR.L,C&C Group,,
CLDN.L,Caledonia Investments,,
CGT.L,Capital Gearing Trust,,
CCL.L,Carnival Corporation & plc,,
CWR.L,Ceres Power,,
CHG.L,Chemring Group,,
CSN.L,Chesnara,,
CHRY.L,Chrysalis Investments,,
CTY.L,City of London Investment Trust,,
CKN.L,Clarkson,,
CBG.L,Close Brothers Group,,
CMCX.L,CMC Markets,,
COA.L,Coats Group,,
CCC.L,Computacenter,,
COST.L,Costain Group,,
CWK.L,Cranswick,,
CURY.L,Currys,,
CVSG.L,CVS Group,,
DLN.L,Derwent London,,
DSCV.L,discoverIE,,
DOM.L,Domino's Pizza,,
DRX.L,Drax Group,,
DOCS.L,Dr. Martens,,
DNLM.L,Dunelm Group,,
EZJ.L,EasyJet,,
EDIN.L,Edinburgh Investment Trust,,
EWI.L,Edinburgh Worldwide Investment Trust,,
ELM.L,Elementis,,
ENOG.L,Energean,,
ESCT.L,European Smaller Companies Trust,,
FCSS.L,Fidelity China Special Situations,,
FEML.L,Fidelity Emerging Markets,,
FEV.L,Fidelity European Trust,,
FSV.L,Fidelity Special Values,,
FGT.L,Finsbury Growth & Income Trust,,
FGP.L,FirstGroup,,
FGEN.L,Foresight Environmental Infrastructure,,
FSG.L,Foresight Group,,
FRAS.L,Frasers Group,,
FCH.L,Funding Circle,,
GFRD.L,Galliford Try,,
GAMA.L,Gamma Communications,,
GBG.L,GB Group,,
GCP.L,GCP Infrastructure Investments,,
GEN.L,Genuit Group,,
GNS.L,Genus,,
GSCT.L,Global Smaller Companies Trust,,
GDWN.L,Goodwin,,
GFTU.L,Grafton Group,,
GRI.L,Grainger,,
GPE.L,Great Portland Estates,,
UKW.L,Greencoat UK Wind,,
GNC.L,Greencore,,
GRG.L,Greggs,,
HMSO.L,Hammerson,,
HBR.L,Harbour Energy,,
HVPE.L,HarbourVest Global Private Equity,,
HWG.L,Harworth Group,,
HAS.L,Hays,,
HTWS.L,Helios Towers,,
HSL.L,Henderson Smaller Companies Investment Trust,,
HRI.L,Herald Investment Trust,,
