ticker,name,sector,gics_code
MMM,3M,Industrials,20
AOS,A. O. Smith,Industrials,20
ABT,Abbott Laboratories,Health Care,35
ABBV,AbbVie,Health Care,35
ACN,Accenture,Information Technology,45
ADBE,Adobe Inc.,Information Technology,45
AMD,Advanced Micro Devices,Information Technology,45
AES,AES Corporation,Utilities,55
AFL,Aflac,Financials,40
A,Agilent Technologies,Health Care,35
APD,Air Products,Materials,15
ABNB,Airbnb,Consumer Discretionary,25
AKAM,Akamai Technologies,Information Technology,45
ALB,Albemarle Corporation,Materials,15
ARE,Alexandria Real Estate Equities,Real Estate,60
ALGN,Align Technology,Health Care,35
ALLE,Allegion,Industrials,20
LNT,Alliant Energy,Utilities,55
ALL,Allstate,Financials,40
GOOGL,Alphabet Inc. (Class A),Communication Services,50
GOOG,Alphabet Inc. (Class C),Communication Services,50
MO,Altria,Consumer Staples,30
AMZN,Amazon,Consumer Discretionary,25
AMCR,Amcor,Materials,15
AEE,Ameren,Utilities,55
AEP,American Electric Power,Utilities,55
AXP,American Express,Financials,40
AIG,American International Group,Financials,40
AMT,American Tower,Real Estate,60
AWK,American Water Works,Utilities,55
AMP,Ameriprise Financial,Financials,40
AME,Ametek,Industrials,20
AMGN,Amgen,Health Care,35
APH,Amphenol,Information Technology,45
ADI,Analog Devices,Information Technology,45
AON,Aon plc,Financials,40
APA,APA Corporation,Energy,10
APO,Apollo Global Management,Financials,40
AAPL,Apple Inc.,Information Technology,45
AMAT,Applied Materials,Information Technology,45
APTV,Aptiv,Consumer Discretionary,25
ACGL,Arch Capital Group,Financials,40
ADM,Archer Daniels Midland,Consumer Staples,30
ANET,Arista Networks,Information Technology,45
AJG,Arthur J. Gallagher & Co.,Financials,40
AIZ,Assurant,Financials,40
T,AT&T,Communication Services,50
ATO,Atmos Energy,Utilities,55
ADSK,Autodesk,Information Technology,45
ADP,Automatic Data Processing,Industrials,20
AZO,AutoZone,Consumer Discretionary,25
AVB,AvalonBay Communities,Real Estate,60
AVY,Avery Dennison,Materials,15
AXON,Axon Enterprise,Industrials,20
BKR,Baker Hughes,Energy,10
BALL,Ball Corporation,Materials,15
BAC,Bank of America,Financials,40
BAX,Baxter International,Health Care,35
BDX,Becton Dickinson,Health Care,35
BRK-B,Berkshire Hathaway,Financials,40
BBY,Best Buy,Consumer Discretionary,25
TECH,Bio-Techne,Health Care,35
BIIB,Biogen,Health Care,35
BLK,BlackRock,Financials,40
BX,Blackstone Inc.,Financials,40
XYZ,"Block, Inc.",Financials,40
BK,BNY Mellon,Financials,40
BA,Boeing,Industrials,20
BKNG,Booking Holdings,Consumer Discretionary,25
BSX,Boston Scientific,Health Care,35
BMY,Bristol Myers Squibb,Health Care,35
AVGO,Broadcom,Information Technology,45
BR,Broadridge Financial Solutions,Industrials,20
BRO,Brown & Brown,Financials,40
BF-B,Brown–Forman,Consumer Staples,30
BLDR,Builders FirstSource,Industrials,20
BG,Bunge Global,Consumer Staples,30
BXP,"BXP, Inc.",Real Estate,60
CHRW,C.H. Robinson,Industrials,20
CDNS,Cadence Design Systems,Information Technology,45
CZR,Caesars Entertainment,Consumer Discretionary,25
CPT,Camden Property Trust,Real Estate,60
CPB,Campbell's Company (The),Consumer Staples,30
COF,Capital One,Financials,40
CAH,Cardinal Health,Health Care,35
KMX,CarMax,Consumer Discretionary,25
CCL,Carnival,Consumer Discretionary,25
CARR,Carrier Global,Industrials,20
CAT,Caterpillar Inc.,Industrials,20
CBOE,Cboe Global Markets,Financials,40
CBRE,CBRE Group,Real Estate,60
CDW,CDW Corporation,Information Technology,45
