ticker,name,sector,gics_code
AA,Alcoa,Materials,15
AAL,American Airlines Group,Industrials,20
AAON,AAON,Industrials,20
ACI,Albertsons,Consumer Staples,30
ACM,AECOM,Industrials,20
ADC,Agree Realty,Real Estate,60
AEIS,Advanced Energy,Information Technology,45
AFG,American Financial Group,Financials,40
AGCO,AGCO,Industrials,20
AHR,American Healthcare REIT,Real Estate,60
AIT,Applied Industrial Technologies,Industrials,20
ALGM,Allegro MicroSystems,Information Technology,45
ALK,Alaska Air Group,Industrials,20
ALLY,Ally Financial,Financials,40
ALV,Autoliv,Consumer Discretionary,25
AM,Antero Midstream,Energy,10
AMG,Affiliated Managers Group,Financials,40
AMH,American Homes 4 Rent,Real Estate,60
AMKR,Amkor Technology,Information Technology,45
AN,AutoNation,Consumer Discretionary,25
ANF,Abercrombie & Fitch,Consumer Discretionary,25
APG,APi Group,Industrials,20
APPF,AppFolio,Information Technology,45
AR,Antero Resources,Energy,10
ARMK,Aramark,Consumer Discretionary,25
ARW,Arrow Electronics,Information Technology,45
ARWR,Arrowhead Pharmaceuticals,Health Care,35
ASB,Associated Bank,Financials,40
ASGN,ASGN Inc.,Information Technology,45
ASH,Ashland Global,Materials,15
ATI,ATI Inc.,Industrials,20
ATR,AptarGroup,Materials,15
AVAV,AeroVironment,Industrials,20
AVNT,Avient,Materials,15
AVT,Avnet,Information Technology,45
AVTR,Avantor,Health Care,35
AXTA,Axalta,Materials,15
AYI,Acuity Brands,Industrials,20
BAH,Booz Allen Hamilton,Industrials,20
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,25
BC,Brunswick,Consumer Discretionary,25
BCO,Brink's,Industrials,20
BDC,Belden Inc.,Information Technology,45
BHF,Brighthouse Financial,Financials,40
BILL,Bill Holdings,Information Technology,45
BIO,Bio-Rad Laboratories,Health Care,35
BJ,BJ's Wholesale Club,Consumer Staples,30
BKH,Black Hills Corporation,Utilities,55
BLD,TopBuild Corp.,Consumer Discretionary,25
BLKB,Blackbaud,Information Technology,45
BMRN,BioMarin Pharmaceutical,Health Care,35
BRBR,BellRing Brands,Consumer Staples,30
BRKR,Bruker,Health Care,35
BROS,Dutch Bros Inc.,Consumer Discretionary,25
BRX,Brixmor Property Group,Real Estate,60
BSY,Bentley Systems,Information Technology,45
BURL,Burlington Stores,Consumer Discretionary,25
BWA,BorgWarner,Consumer Discretionary,25
BWXT,BWX Technologies,Industrials,20
BYD,Boyd Gaming,Consumer Discretionary,25
CACI,CACI International,Industrials,20
CAR,Avis Budget Group,Industrials,20
CART,Maplebear Inc.,Consumer Staples,30
CASY,Casey's General Stores,Consumer Staples,30
CAVA,Cava Group,Consumer Discretionary,25
CBSH,Commerce Bancshares,Financials,40
CBT,Cabot Corp,Materials,15
CCK,Crown Holdings,Materials,15
CDP,COPT Defense Properties,Real Estate,60
CELH,Celsius Holdings,Consumer Staples,30
CFR,Frost Bank,Financials,40
CG,Carlyle Group,Financials,40
CGNX,Cognex,Information Technology,45
CHDN,Churchill Downs Inc.,Consumer Discretionary,25
CHE,Chemed Corp.,Health Care,35
CHH,Choice Hotels,Consumer Discretionary,25
CHRD,Chord Energy,Energy,10
CHWY,Chewy,Consumer Discretionary,25
CLF,Cleveland-Cliffs,Materials,15
CLH,Clean Harbors,Industrials,20
CMC,Commercial Metals,Materials,15
CNH,CNH Industrial,Industrials,20
CNM,Core & Main,Industrials,20
CNO,CNO Financial Group,Financials,40
CNX,CNX Resources,Energy,10
CNXC,Concentrix,Industrials,20
COHR,Coherent Corp.,Information Technology,45
COKE,Coca-Cola Consolidated,Consumer Staples,30
COLB,Columbia Banking System,Financials,40
COLM,Columbia Sportswear,Consumer Discretionary,25
COTY,Coty,Consumer Staples,30
CPRI,Capri Holdings,Consumer Discretionary,25
CR,Crane,Industrials,20
CRBG,Corebridge Financial,Financials,40
CROX,Crocs,Consumer Discretionary,25
CRS,Carpenter Technology,Industrials,20
CRUS,Cirrus Logic,Information Technology,45
CSL,Carlisle Companies,Industrials,20
CUBE,CubeSmart,Real Estate,60
CUZ,Cousins Properties,Real Estate,60
CVLT,CommVault Systems,Information Technology,45
CW,Curtiss-Wright,Industrials,20
CXT,Crane NXT,Information Technology,45
CYTK,Cytokinetics,Health Care,35
DAR,Darling Ingredients,Consumer Staples,30
DBX,Dropbox,Information Technology,45
DCI,Donaldson Company,Industrials,20
DINO,HF Sinclair,Energy,10
DKS,Dick's Sporting Goods,Consumer Discretionary,25
DLB,Dolby,Information Technology,45
DOCS,Doximity,Health Care,35
DOCU,Docusign,Information Technology,45
DT,Dynatrace,Information Technology,45
DTM,DT Midstream,Energy,10
