ticker,name,sector,gics_code
PLUG,PLUG POWER INC,Industrials,20.0
FLR,FLUOR CORP,Industrials,20.0
HSHP,HIMALAYA SHIPPING LTD,Industrials,20.0
DNOW,DNOW INC,Industrials,20.0
TRN,TRINITY INDUSTRIES INC,Industrials,20.0
SLND,SOUTHLAND HOLDINGS INC,Industrials,20.0
MWA,MUELLER WATER PRODUCTS INC SERIES,Industrials,20.0
BXC,BLUELINX HOLDINGS INC,Industrials,20.0
UFPI,UFP INDUSTRIES INC,Industrials,20.0
EBF,ENNIS INC,Industrials,20.0
BEEP,MOBILE INFRASTRUCTURE CORP,Industrials,20.0
CMDB,COSTAMARE BULKERS HOLDINGS LTD,Industrials,20.0
BV,BRIGHTVIEW HOLDINGS INC,Industrials,20.0
ROAD,CONSTRUCTION PARTNERS INC CLASS A,Industrials,20.0
BBUC,BROOKFIELD BUSINESS CORP CLASS A,Industrials,20.0
CMPR,CIMPRESS PLC,Industrials,20.0
MOGA,MOOG INC CLASS A,Industrials,20.0
GTLS,CHART INDUSTRIES INC,Industrials,20.0
NPO,ENPRO INC,Industrials,20.0
RUN,SUNRUN INC,Industrials,20.0
GFF,GRIFFON CORP,Industrials,20.0
FLNC,FLUENCE ENERGY INC CLASS A,Industrials,20.0
RDW,REDWIRE CORP,Industrials,20.0
SPXC,SPX TECHNOLOGIES INC,Industrials,20.0
BKSY,BLACKSKY TECHNOLOGY INC CLASS A,Industrials,20.0
HRI,HERC HOLDINGS INC,Industrials,20.0
ORN,ORION GROUP INC,Industrials,20.0
VTEX,VTEX CLASS A,Information Technology,45.0
RMNI,RIMINI STREET INC,Information Technology,45.0
RPD,RAPID7 INC,Information Technology,45.0
ADTN,ADTRAN HOLDINGS INC,Information Technology,45.0
TENB,TENABLE HOLDINGS INC,Information Technology,45.0
CXM,SPRINKLR INC CLASS A,Information Technology,45.0
CLFD,CLEARFIELD INC,Information Technology,45.0
VECO,VEECO INSTRUMENTS INC,Information Technology,45.0
CRDO,CREDO TECHNOLOGY GROUP HOLDING LTD,Information Technology,45.0
LAW,CS DISCO INC,Information Technology,45.0
BOX,BOX INC CLASS A,Information Technology,45.0
WYFI,WHITEFIBER INC,Information Technology,45.0
BTDR,BITDEER TECHNOLOGIES GROUP CLASS A,Information Technology,45.0
NVTS,NAVITAS SEMICONDUCTOR CORP,Information Technology,45.0
SSTI,SOUNDTHINKING INC,Information Technology,45.0
KLIC,KULICKE AND SOFFA INDUSTRIES INC,Information Technology,45.0
ADEA,ADEIA INC,Information Technology,45.0
ARLO,ARLO TECHNOLOGIES INC,Information Technology,45.0
MIR,MIRION TECHNOLOGIES INC CLASS A,Information Technology,45.0
CORZ,CORE SCIENTIFIC INC,Information Technology,45.0
OUST,OUSTER INC,Information Technology,45.0
WULF,TERAWULF INC,Information Technology,45.0
NXDR,NEXTDOOR HOLDINGS INC CLASS A,Communication,
NMAX,NEWSMAX INC CLASS B,Communication,
CARS,CARS.COM INC,Communication,
GSAT,GLOBALSTAR VOTING INC,Communication,
EVC,ENTRAVISION COMMUNICATIONS CORP CL,Communication,
GAMB,GAMBLING COM GROUP LTD,Communication,
YELP,YELP INC,Communication,
ANGI,ANGI INC CLASS A,Communication,
XTSLA,BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,
CMT,CORE MOLDING TECHNOLOGIES INC,Materials,15.0
TROX,TRONOX HOLDINGS PLC,Materials,15.0
VHI,VALHI INC,Materials,15.0
ASIX,ADVANSIX INC,Materials,15.0
LZM,LIFEZONE METALS LTD,Materials,15.0
IOSP,INNOSPEC INC,Materials,15.0
SXT,SENSIENT TECHNOLOGIES CORP,Materials,15.0
HCC,WARRIOR MET COAL INC,Materials,15.0
QSI,QUANTUM SI INC CLASS A,Health Care,35.0
PGNY,PROGYNY INC,Health Care,35.0
THRD,THIRD HARMONIC BIO INC,Health Care,35.0
ASTH,ASTRANA HEALTH INC,Health Care,35.0
ADMA,ADMA BIOLOGICS INC,Health Care,35.0
ARDX,ARDELYX INC,Health Care,35.0
ERAS,ERASCA INC,Health Care,35.0
AVNS,AVANOS MEDICAL INC,Health Care,35.0
AHCO,ADAPTHEALTH CORP,Health Care,35.0
EBS,EMERGENT BIOSOLUTIONS INC,Health Care,35.0
TBRG,TRUBRIDGE INC,Health Care,35.0
PHR,PHREESIA INC,Health Care,35.0
ADUS,ADDUS HOMECARE CORP,Health Care,35.0
ABUS,ARBUTUS BIOPHARMA CORP,Health Care,35.0
AMN,AMN HEALTHCARE INC,Health Care,35.0
