quarter,rotation_deg,K_actual,N
2010-04-01,22.268661532840245,8,71
2010-10-01,36.17305372347683,8,83
2011-01-01,30.59772694692994,8,83
2011-04-01,14.419013766419893,8,83
2012-01-01,22.90708360212012,8,86
2012-04-01,26.1108300128221,8,86
2012-07-01,40.90751056404808,8,86
2012-10-01,22.445026217011208,8,86
2013-01-01,20.576904710435905,8,86
2013-04-01,27.608365549432886,8,86
2013-07-01,18.37979634500322,8,86
2014-04-01,23.408899911595352,8,88
2014-07-01,25.596585244337874,8,88
2014-10-01,31.137616843427555,8,88
2015-04-01,30.032365485315427,8,92
2015-07-01,31.077944379338277,8,92
2015-10-01,25.428696942021805,8,92
2016-01-01,23.820074216298497,8,92
2016-04-01,18.28462533653993,8,92
2016-07-01,21.116450380628432,8,92
2016-10-01,29.284223879843996,8,92
2017-01-01,24.12249243250522,8,92
2017-04-01,31.752630866777906,8,92
2017-07-01,25.542619606070886,8,92
2017-10-01,25.13520578165514,8,92
2018-01-01,24.198073340003628,8,92
2018-04-01,36.81277230376832,8,92
2018-07-01,22.39108445476277,8,92
2018-10-01,29.520752096026982,8,92
2019-01-01,11.46418359958282,8,92
2019-04-01,27.25952582295531,8,92
2019-07-01,16.333241631749885,8,92
2019-10-01,23.15953117865273,8,92
2020-01-01,20.252784797112316,8,92
2020-04-01,22.19432860071774,8,92
2020-07-01,26.757017990802552,8,92
2020-10-01,20.1732114345744,8,92
2021-04-01,23.028004779777707,8,93
2021-07-01,32.94339575409908,8,93
2021-10-01,29.50366487217555,8,93
2022-01-01,18.07377662035261,8,93
2022-04-01,19.440143055698872,8,93
2022-07-01,37.71626022121217,8,93
2022-10-01,28.857069579877287,8,93
2023-01-01,31.310381210244387,8,93
2023-04-01,32.27317735111098,8,93
2023-07-01,30.23779705794603,8,93
2023-10-01,9.06093685980051,8,93
2024-01-01,30.517778210276408,8,93
2024-04-01,32.27276758133902,8,93
2024-07-01,26.948210872909556,8,93
2024-10-01,32.65349146562094,8,93
