window,test_year,is_holdout,selected_K,selected_T,inner_val_r2,outer_r2_smim,outer_r2_ar1,delta_r2
W2015,2015,False,10,8,0.787321054142013,0.6766978484137014,0.5785377770407211,0.09816007137298033
W2016,2016,False,10,3,0.7432862949658049,0.6707637011262679,0.5340808752842824,0.13668282584198554
W2017,2017,False,10,3,0.7096074769401739,0.6835376630490044,0.5845269409036774,0.09901072214532702
W2018,2018,False,10,8,0.6815018262375725,0.7262680929968053,0.636960589587854,0.08930750340895133
W2019,2019,False,10,3,0.7437422911936689,0.6643929810574346,0.6292022563012416,0.035190724756193004
W2020,2020,False,10,3,0.734169950197884,0.7670782747030973,0.6894439009249047,0.0776343737781926
W2021,2021,False,10,8,0.7491690531396875,0.631978641362607,0.535683390640144,0.09629525072246292
W2022,2022,False,10,3,0.707661666192018,0.7988371344930866,0.689256941895037,0.10958019259804963
W2023,2023,True,10,3,,0.7513501233835871,0.6645707528598634,0.08677937052372364
W2024,2024,True,10,3,,0.7785534946002666,0.684225331616084,0.09432816298418256
