window,is_holdout,n_obs,mse_smim,mse_ar1,mse_mean,mae_smim,mae_ar1,mae_mean,r2_smim,r2_ar1,delta_mse_vs_ar1,delta_mae_vs_ar1,delta_r2_vs_ar1,delta_mse_vs_mean,smim_wins_mse
W2015,False,368,0.02819539813262722,0.03675600399160035,0.08721067272297775,0.12438400369871744,0.14446536773811494,0.2558155169754207,0.6766978484137014,0.5785377770407211,-0.008560605858973131,-0.020081364039397503,0.09816007137298033,-0.059015274590350525,1
W2016,False,368,0.02858967353395113,0.04045870918368957,0.08683633497203107,0.12184794420698465,0.15081129540919147,0.25504776439370397,0.6707637011262679,0.5340808752842824,-0.011869035649738444,-0.02896335120220682,0.13668282584198554,-0.05824666143807994,1
W2017,False,368,0.02696583703889509,0.03540256611129542,0.08521025692567889,0.1178434721832466,0.1447471971511262,0.25146542556278323,0.6835376630490044,0.5845269409036774,-0.00843672907240033,-0.026903724967879586,0.09901072214532702,-0.058244419886783805,1
W2018,False,368,0.02290030039333153,0.030371729931209984,0.08365959468898987,0.11022169898907819,0.1275038833253404,0.2491063369838825,0.7262680929968053,0.636960589587854,-0.007471429537878455,-0.01728218433626222,0.08930750340895133,-0.060759294295658337,1
W2019,False,368,0.029038545107544188,0.03208343806425189,0.0865254403767811,0.12384998399936907,0.1325205290043721,0.2562815805020826,0.6643929810574346,0.6292022563012416,-0.0030448929567076996,-0.008670545005003041,0.035190724756193004,-0.057486895269236914,1
W2020,False,368,0.020781312678494927,0.027707863621852638,0.08922015605030068,0.10246538822979125,0.12460505481348524,0.25996857964018827,0.7670782747030973,0.6894439009249047,-0.0069265509433577115,-0.022139666583693998,0.0776343737781926,-0.06843884337180575,1
W2021,False,372,0.032133396253795514,0.04054131437104875,0.08731394387752411,0.1281524795263108,0.15102764642258373,0.25518278257390087,0.631978641362607,0.535683390640144,-0.008407918117253235,-0.022875166896272947,0.09629525072246292,-0.0551805476237286,1
W2022,False,372,0.017774492310538174,0.027456857322655126,0.08835871504289798,0.09515367986410699,0.12763990123445138,0.25855849185239943,0.7988371344930866,0.689256941895037,-0.009682365012116952,-0.03248622137034439,0.10958019259804963,-0.07058422273235981,1
W2023,True,372,0.021723411028449654,0.02930493071520643,0.08736546071953985,0.10361699403287122,0.1261846402196988,0.2557170007905577,0.7513501233835871,0.6645707528598634,-0.007581519686756775,-0.022567646186827578,0.08677937052372364,-0.06564204969109019,1
W2024,True,372,0.019415230334168077,0.027685412823753905,0.0876745844289645,0.09899689960614241,0.12401077566029299,0.2552526983909033,0.7785534946002666,0.684225331616084,-0.008270182489585828,-0.025013876054150577,0.09432816298418256,-0.06825935409479643,1
