window,r2,mse,step
W2015,0.5785377770407211,0.03675600399160035,AR(1) T=10yr
W2016,0.5340808752842824,0.04045870918368957,AR(1) T=10yr
W2017,0.5845269409036774,0.03540256611129542,AR(1) T=10yr
W2018,0.636960589587854,0.030371729931209984,AR(1) T=10yr
W2019,0.6292022563012416,0.03208343806425189,AR(1) T=10yr
W2020,0.6894439009249047,0.027707863621852638,AR(1) T=10yr
W2021,0.535683390640144,0.04054131437104875,AR(1) T=10yr
W2022,0.689256941895037,0.027456857322655126,AR(1) T=10yr
W2023,0.6645707528598634,0.02930493071520643,AR(1) T=10yr
W2024,0.684225331616084,0.027685412823753905,AR(1) T=10yr
W2015,-0.12854371724545777,0.09842105677826636,"S0: baseline (T=10,K=3,Schur,full-demean)"
W2016,0.2766443790803792,0.06281355100207772,"S0: baseline (T=10,K=3,Schur,full-demean)"
W2017,0.2921367851496455,0.060317206405635745,"S0: baseline (T=10,K=3,Schur,full-demean)"
W2018,0.021296538536990428,0.08187793490670679,"S0: baseline (T=10,K=3,Schur,full-demean)"
W2019,0.4051232193381089,0.05147197541669195,"S0: baseline (T=10,K=3,Schur,full-demean)"
W2020,0.4427929111435319,0.04971410342010784,"S0: baseline (T=10,K=3,Schur,full-demean)"
W2021,0.31642242153365296,0.05968585432214445,"S0: baseline (T=10,K=3,Schur,full-demean)"
W2022,0.31207975302614266,0.060783749074603065,"S0: baseline (T=10,K=3,Schur,full-demean)"
W2023,0.32514179438163615,0.05895929805421031,"S0: baseline (T=10,K=3,Schur,full-demean)"
W2024,0.40055339327751693,0.052556232131746615,"S0: baseline (T=10,K=3,Schur,full-demean)"
W2015,0.3939473522481398,0.05285425911598159,S1: +EWM demean
W2016,0.3825330953556113,0.05361856296584331,S1: +EWM demean
W2017,0.024143545182620185,0.08315297923757109,S1: +EWM demean
W2018,0.4427649473776669,0.04661805864888232,S1: +EWM demean
W2019,0.4688829716312314,0.045955134771215045,S1: +EWM demean
W2020,-11.979231485482169,1.158009058547695,S1: +EWM demean
W2021,0.24311635120410113,0.06608649643278079,S1: +EWM demean
W2022,0.32006488144015033,0.060078193388488806,S1: +EWM demean
W2023,0.3445891474990961,0.05726027108932784,S1: +EWM demean
W2024,0.44640611342574377,0.04853611394781322,S1: +EWM demean
W2015,-15577.586213585242,1358.6189837596758,"S2: +T=5yr,K=5"
W2016,0.21942662197776197,0.0677821313241889,"S2: +T=5yr,K=5"
W2017,-0.18957619655206948,0.10136409334087373,"S2: +T=5yr,K=5"
W2018,0.41845907771135593,0.04865147785372931,"S2: +T=5yr,K=5"
W2019,-0.3019602240491406,0.11265268173890448,"S2: +T=5yr,K=5"
W2020,0.44012650614003557,0.04995200049061308,"S2: +T=5yr,K=5"
W2021,-192.7658924164594,16.91846425582911,"S2: +T=5yr,K=5"
W2022,0.4188989887830975,0.05134533866125415,"S2: +T=5yr,K=5"
W2023,0.35984637252424145,0.055927316595704324,"S2: +T=5yr,K=5"
W2024,0.4853801553631921,0.0451190810174304,"S2: +T=5yr,K=5"
W2015,0.4832820021310529,0.045063324202221054,S3: +spherical R
W2016,0.27085702048242133,0.06331610401189325,S3: +spherical R
W2017,0.34191455615006117,0.05607562974950272,S3: +spherical R
